date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
10/22/2021,"Hang Power Snatch","Every 1:30 x 5 Sets2 HPS (77.5%)*reset at hips; trying to snap under that bar as fast as you can",155,"155","Load","","[{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155}]","",RX,
10/22/2021,"Hang Power Clean","Every 1:30 x 5 Sets2 HPC (77.5%)*reset at hips; trying to snap under that bar as fast as you can",215,"215","Load","","[{""success"":true,""load"":215},{""success"":true,""load"":215},{""success"":true,""load"":215},{""success"":true,""load"":215},{""success"":true,""load"":215}]","",RX,
10/25/2021,"Clean Deadlift + Jump","5 Sets:1 Clean Deadlift into 2 Box Jumps (reset between jumps)Rest to full recovery btw sets*100-105-110-115-115% of 1RM Clean**if you are losing positioning and it doesnt looking like your are about to clean it, then dont worry about percentages and back off them (ie it should look like you are picking up 50% as far as positioning goes)",295,"295","Load","","[{""success"":true,""load"":275},{""success"":true,""load"":275},{""success"":true,""load"":295},{""success"":true,""load"":295},{""success"":true,""load"":295}]","",RX,
10/25/2021,"Tempo Front Squat","4 x 4*Add 5-10# to each set from 10/11**3 second negative!",195,"195","Load","","[{""success"":true,""load"":195},{""success"":true,""load"":195},{""success"":false,""load"":195},{""success"":false,""load"":195}]","Knee 🥲",RX,
10/26/2021,"Snatch","Every 2:00 x 6 Sets:Sets 1-2: 4 Reps (75%)Sets 3-4: 3 Reps (80%)Sets 5-6: 2 Reps (85%)*No TnG, drop and reset",170,"170","Load","","[{""success"":true,""load"":150},{""success"":true,""load"":150},{""success"":true,""load"":160},{""success"":true,""load"":160},{""success"":true,""load"":170},{""success"":false,""load"":170}]","Knee",RX,
10/26/2021,"2 Clean + 1 Jerk","5 Sets:2 Cleans + 1 Jerk75-80% of 1RM Clean*Go every 2:00-2:30 depending on how tough it feels today**Do not Touch n Go",170,"170","Load","","[{""success"":true,""load"":170},{""success"":true,""load"":170},{""success"":true,""load"":170},{""success"":true,""load"":170},{""success"":true,""load"":170}]","Power for knee",SCALED,
10/27/2021,"Burpee BMU/Ski","At 0:00,30 Burpee Bar Muscle Ups For Time[8:00 Cap]At 10:001000m Ski For Time*May sub Burpee Chest to Bars or Burpee Kipping Pullups",213,"3:33","","","[{""secs"":0,""mins"":6},{""secs"":33,""mins"":3}]","Started at 135 ski first 500 and ended at 155 lol",RX,
10/27/2021,"Bench Press","8-8-6-6(75-77.5-82.5-85%)*No Tempo",195,"195","Load","","[{""success"":true,""load"":195},{""success"":false,""load"":195},{""success"":true,""load"":185},{""success"":true,""load"":185}]","",RX,
11/08/2021,"Clean Pull + Broad Jumps","4 Sets:1 Clean Shrug Pull (100% of 1RM Clean)into 2 Max Distance Broad Jumps (reset between jumps)*make sure you are warmed up because we want you feeling fast on these. If the bar is moving slower today, its okay to drop the weight some.",355,"355","Load","","[{""success"":true,""load"":355},{""success"":true,""load"":355},{""success"":true,""load"":355},{""success"":true,""load"":355}]","2 DL:45 second nose to wall HSEasing off anything that could bother knee",SCALED,
11/09/2021,"DT/Amanda Mashup","9 RMU9 Deadlifts + 9 Hang Power Cleans + 9 Push Jerks7 RMU7 DL + 7 HPC + 7 PJ5 RMU5 DL + 5 HPC + 5 PJ*155/105*RMU: May scale to 6-4-2 or 3-2-1 today. Sub is Strict Chinups + Strict Ring Dips",538,"8:58","","","[{""secs"":58,""mins"":8}]","",RX,
